Age,Gender,State,Education,EmploymentType,MaritalStatus,FilingStatus,Dependents,AnnualIncome,BusinessIncome,CapitalGains,MortgageInterest,CharitableDonations,RetirementContrib,HealthInsurancePremium,StandardDeduction,DeductionsTotal,TaxableIncome,TaxLiability,EffectiveTaxRate,HasMortgage,AuditFlag
56,Male,WA,HighSchool,Salaried,Married,MarriedJoint,3,44893.59,2951.73,1129.4,1162.4,392.52,4548.86,4470.63,27700.0,27700.0,16774.72,0.0,0.0,1,0
49,Female,GA,Bachelors,Salaried,Single,Single,2,69679.07,1428.79,587.4,2232.51,895.73,5863.86,5749.48,13850.0,13850.0,54845.26,5173.46,0.0722,1,1
19,Female,IL,HighSchool,Salaried,Single,HeadOfHousehold,0,70438.31,4773.87,745.02,660.24,1032.49,3999.59,4965.96,20800.0,20800.0,55157.2,7442.09,0.098,1,1
31,Female,WA,HighSchool,Salaried,Divorced,Single,1,36215.99,826.26,339.75,686.21,38.8,2094.5,3360.89,13850.0,13850.0,22031.99,1623.84,0.0434,1,0
35,Female,FL,Bachelors,Salaried,Divorced,Single,2,97164.31,2485.38,8726.38,3694.61,895.92,9088.97,7387.69,13850.0,13850.0,91526.06,13843.23,0.1277,1,1
57,Male,MI,Bachelors,Salaried,Married,MarriedJoint,4,52615.22,3196.17,818.26,664.09,242.34,4142.12,7472.58,27700.0,27700.0,22929.65,0.0,0.0,1,0
36,Female,IL,Bachelors,Salaried,Single,Single,2,53386.26,6421.88,1299.12,817.41,506.36,2104.65,3636.8,13850.0,13850.0,44257.25,2890.87,0.0473,1,0
28,Male,WA,HighSchool,Salaried,Single,Single,2,40533.83,1336.95,490.58,120.5,108.97,3108.22,5332.2,13850.0,13850.0,25511.36,1241.36,0.0293,1,0
37,Male,PA,PhD,Salaried,Married,MarriedJoint,3,65757.64,7200.13,1182.27,3072.0,50.48,4016.76,5971.32,27700.0,27700.0,41940.03,1812.8,0.0245,1,0
34,Male,NY,Bachelors,Salaried,Single,Single,1,71963.81,1605.61,1048.64,1702.12,119.71,5678.73,6468.47,13850.0,13850.0,59268.07,6946.47,0.0931,1,1
34,Female,NC,PhD,Unemployed,Married,MarriedJoint,2,9224.55,746.04,64.84,347.5,178.85,185.63,4292.97,27700.0,27700.0,0.0,0.0,0.0,1,1
42,Male,WA,HighSchool,SelfEmployed,Single,Single,3,55787.0,3003.47,2313.97,1478.09,206.65,2754.27,6719.0,13850.0,13850.0,42754.44,2510.53,0.0411,1,0
50,Male,WA,Bachelors,Salaried,Widowed,Single,3,97561.29,2939.1,9599.21,1093.93,866.67,3143.97,5525.28,13850.0,13850.0,91749.61,13092.41,0.1189,1,1
48,Female,IL,Bachelors,Salaried,Single,Single,3,45844.6,2984.98,593.29,807.81,484.83,4758.54,6641.64,13850.0,13850.0,31072.87,508.74,0.0103,1,1
60,Male,IL,Masters,Salaried,Single,Single,4,126355.66,8471.6,2800.0,4549.09,1867.89,12036.16,6303.92,13850.0,14433.56,117193.7,18326.49,0.1332,1,1
47,Female,TX,Masters,Salaried,Single,Single,3,54173.83,2756.98,1643.76,1551.18,550.04,3461.97,5621.4,13850.0,13850.0,40224.57,1606.95,0.0274,1,1
48,Male,CA,Bachelors,Unemployed,Single,Single,3,14719.31,1963.98,929.5,59.79,224.91,1268.62,5845.69,13850.0,13850.0,0.0,0.0,0.0,1,1
44,Male,AZ,HighSchool,Salaried,Single,Single,3,44696.02,1406.04,3526.47,208.64,190.05,892.18,7229.25,13850.0,13850.0,31278.53,1133.42,0.0228,1,1
34,Male,NC,HighSchool,Contractor,Married,MarriedJoint,2,56415.21,24786.96,2413.93,834.46,342.42,3664.43,5190.96,27700.0,27700.0,52916.1,5349.04,0.064,1,1
35,Female,OH,HighSchool,Contractor,Married,MarriedSeparate,2,67428.44,24883.76,5422.28,1565.79,325.29,3513.64,5053.31,13850.0,13850.0,80884.47,11502.08,0.1177,1,1
28,Male,OH,Masters,SelfEmployed,Married,MarriedJoint,2,77265.97,8476.14,3862.28,2578.65,467.9,5202.03,5103.17,27700.0,27700.0,58904.39,6066.47,0.0677,1,1
20,Male,CA,HighSchool,Salaried,Married,MarriedSeparate,1,50161.14,1115.48,951.16,5389.86,562.34,3282.9,3633.12,13850.0,13850.0,36877.78,3405.33,0.0652,1,0
48,Male,IL,HighSchool,Salaried,Widowed,Single,2,37921.88,1954.67,375.75,1075.57,1812.73,1614.37,5364.95,13850.0,13850.0,23402.29,988.27,0.0246,1,0
44,Female,AZ,Bachelors,Contractor,Single,Single,2,73955.95,14818.19,3129.72,574.45,419.33,5223.9,4953.34,13850.0,13850.0,75053.86,10219.35,0.1112,1,1
27,Female,IL,HighSchool,Contractor,Married,MarriedJoint,2,134278.38,48656.5,2741.72,5796.99,2296.12,5914.63,4229.69,27700.0,27700.0,154976.61,28994.39,0.1562,1,1
45,Female,OH,PhD,Salaried,Single,Single,3,85194.56,3350.45,4092.37,2020.3,550.62,7645.31,6804.44,13850.0,13850.0,74287.37,9250.72,0.0999,1,0
44,Male,FL,HighSchool,Salaried,Married,MarriedJoint,2,77327.33,583.53,3546.1,945.95,455.28,5235.2,4459.8,27700.0,27700.0,50756.96,4874.03,0.0598,1,0
49,Female,CA,Masters,Salaried,Married,MarriedJoint,4,94798.42,2509.81,4644.4,9108.99,298.9,6081.4,5404.29,27700.0,27700.0,68252.63,6523.08,0.064,1,1
36,Female,NY,Bachelors,Salaried,Married,MarriedSeparate,3,73324.26,2675.13,1589.72,2385.39,537.89,4414.46,6225.4,13850.0,13850.0,59239.12,5340.11,0.0688,1,1
33,Female,CA,Bachelors,Salaried,Single,Single,2,41211.49,1406.29,2228.18,1565.3,395.04,2953.01,4832.91,13850.0,13850.0,27995.95,939.51,0.0209,1,0
33,Male,OH,Bachelors,Salaried,Single,Single,1,49367.51,4007.73,5138.54,943.7,539.54,2035.83,6428.11,13850.0,13850.0,43163.78,3559.65,0.0608,1,1
51,Male,AZ,Bachelors,Contractor,Married,MarriedJoint,3,45552.68,62929.54,2597.37,1932.01,741.8,4001.6,5066.11,27700.0,27700.0,78879.6,10261.01,0.0924,1,1
52,Male,FL,Bachelors,SelfEmployed,Divorced,Single,2,50008.51,7774.69,5032.04,1803.31,72.47,4245.24,5557.55,13850.0,13850.0,45965.23,3219.85,0.0513,1,1
31,Female,WA,HighSchool,Salaried,Married,MarriedJoint,1,42051.05,3610.03,2555.26,261.51,416.9,2892.32,5270.41,27700.0,27700.0,19016.33,1261.96,0.0262,1,1
41,Male,CA,Masters,SelfEmployed,Single,HeadOfHousehold,2,104850.57,4272.79,3613.52,2351.98,1293.32,6028.33,4255.84,20800.0,20800.0,88936.87,13273.61,0.1177,1,1
36,Male,PA,Bachelors,SelfEmployed,Single,HeadOfHousehold,2,102134.46,25623.99,3662.49,2336.7,1086.34,9706.87,4293.11,20800.0,20800.0,107620.95,17629.03,0.1341,1,1
34,Male,GA,Bachelors,Salaried,Single,HeadOfHousehold,1,55684.1,4160.5,636.6,2116.84,412.33,3421.87,4538.76,20800.0,20800.0,38181.2,2961.74,0.049,1,1
46,Female,NY,Bachelors,Contractor,Married,MarriedJoint,3,74413.09,19019.86,3993.02,1835.78,909.75,1899.11,7187.02,27700.0,27700.0,65225.97,6657.21,0.0683,1,1
43,Male,CA,Bachelors,Salaried,Single,Single,3,131496.98,319.52,11988.42,1924.01,1962.33,5646.66,5354.11,13850.0,13850.0,125454.93,21109.18,0.1468,1,1
18,Female,TX,Bachelors,Unemployed,Single,Single,0,12649.03,2779.77,48.67,189.55,168.98,985.63,4412.62,13850.0,13850.0,1627.46,0.0,0.0,1,0
44,Female,CA,Bachelors,Salaried,Married,MarriedJoint,3,39372.34,1882.86,734.59,487.94,876.17,3106.36,5529.28,27700.0,27700.0,9789.79,0.0,0.0,1,0
59,Female,WA,HighSchool,SelfEmployed,Single,Single,3,73092.18,40794.74,2440.86,522.08,2672.02,5526.22,6092.56,13850.0,13850.0,97977.78,14514.67,0.1248,1,1
41,Male,CA,Bachelors,Salaried,Single,Single,2,67120.88,7905.3,1200.63,843.16,301.46,6682.37,6944.14,13850.0,13850.0,59376.82,6170.4,0.0809,1,0
58,Female,CA,HighSchool,Salaried,Single,Single,3,51713.81,3370.88,721.95,940.39,663.66,4046.67,7805.57,13850.0,13850.0,37456.64,1874.8,0.0336,1,0
45,Female,MI,Masters,Salaried,Married,MarriedJoint,3,59533.18,1063.79,809.31,1235.07,151.74,2811.86,5276.81,27700.0,27700.0,29206.28,284.75,0.0046,1,0
65,Female,NY,Bachelors,Salaried,Single,Single,5,69366.96,4593.44,7845.15,2061.09,350.7,6179.17,7146.81,13850.0,13850.0,60455.55,4007.72,0.049,1,0
65,Male,FL,PhD,SelfEmployed,Married,MarriedJoint,4,97472.91,4927.04,2348.77,3810.37,623.37,1536.21,6449.35,27700.0,27700.0,71048.72,7738.22,0.0739,1,0
65,Male,NY,Bachelors,Salaried,Single,Single,4,116466.75,4581.86,6494.37,2006.62,1047.65,7786.89,6643.67,13850.0,13850.0,107692.99,16046.32,0.1258,1,0
49,Male,WA,Masters,Salaried,Single,Single,3,60470.29,1391.92,2900.81,1203.75,47.13,2503.73,7273.39,13850.0,13850.0,46413.02,2518.36,0.0389,1,1
44,Female,AZ,PhD,Contractor,Married,MarriedJoint,2,98940.5,25700.73,4293.24,4311.02,515.7,3343.84,6013.24,27700.0,27700.0,98234.47,15376.27,0.1193,1,0
26,Male,AZ,HighSchool,Salaried,Single,Single,1,61003.71,2710.34,3096.84,239.33,272.65,3598.82,5734.89,13850.0,13850.0,51460.89,5828.89,0.0872,1,1
25,Male,NY,Bachelors,Contractor,Married,MarriedJoint,1,65495.85,32932.41,6446.34,1977.22,1701.15,3806.21,4225.4,27700.0,27700.0,75674.6,11155.91,0.1064,1,1
58,Male,TX,HighSchool,Salaried,Single,Single,3,47518.68,1153.83,3419.96,2613.71,1204.82,3682.62,5149.46,13850.0,13850.0,33742.47,1429.1,0.0274,1,1
31,Female,WA,HighSchool,Salaried,Married,MarriedJoint,1,28569.59,1485.38,2048.56,987.8,119.11,1401.53,4196.34,27700.0,27700.0,2903.54,0.0,0.0,1,1
59,Male,WA,Bachelors,Salaried,Single,Single,4,160762.97,2364.14,19269.41,4247.85,742.65,5882.83,6259.5,13850.0,13850.0,162546.52,29211.16,0.1602,1,1
32,Female,FL,Bachelors,Contractor,Single,Single,1,78976.4,9155.68,3180.0,932.7,266.08,4063.87,4173.48,13850.0,13850.0,75962.08,11219.16,0.1229,1,1
18,Female,OH,Masters,SelfEmployed,Married,MarriedJoint,1,54006.31,7287.01,679.61,1318.65,464.38,3414.65,4318.85,27700.0,27700.0,32772.93,2312.75,0.0373,1,1
31,Male,FL,HighSchool,Contractor,Widowed,Single,3,48472.2,9904.21,1181.16,625.43,734.54,4587.2,6003.53,13850.0,13850.0,41207.58,2324.91,0.039,1,0
24,Female,CA,Masters,Salaried,Single,Single,2,36140.75,7881.52,1497.32,962.71,33.89,2426.1,4631.2,13850.0,13850.0,28669.6,1020.35,0.0224,1,0
58,Male,IL,HighSchool,Salaried,Married,MarriedJoint,4,36078.65,11955.48,889.22,543.61,23.89,1698.47,6405.84,27700.0,27700.0,15223.36,0.0,0.0,1,1
38,Female,WA,HighSchool,Salaried,Single,Single,2,44059.44,5182.73,1516.39,2404.36,717.86,2893.78,5465.52,13850.0,13850.0,33908.56,2249.03,0.0443,1,1
37,Male,WA,HighSchool,Salaried,Married,MarriedSeparate,2,45923.83,2707.17,189.19,1335.26,194.74,2411.26,6403.11,13850.0,13850.0,31970.19,2016.42,0.0413,1,0
35,Female,CA,Bachelors,Salaried,Divorced,Single,3,92322.18,2702.12,270.38,226.82,1530.28,5844.43,6529.25,13850.0,13850.0,76944.68,9835.33,0.1032,1,0
41,Male,NY,Bachelors,SelfEmployed,Single,Single,3,64071.4,49801.43,6200.71,2043.68,873.67,4541.03,6632.52,13850.0,13850.0,101723.54,15413.65,0.1284,1,1
44,Male,CA,HighSchool,Contractor,Divorced,Single,4,64749.42,44130.92,3690.49,2945.06,1179.12,6297.79,6601.25,13850.0,13850.0,92720.83,12506.08,0.1111,1,1
34,Female,NY,HighSchool,Salaried,Divorced,HeadOfHousehold,1,35713.48,2079.08,3089.93,701.94,912.79,1844.67,5139.56,20800.0,20800.0,18582.5,1209.9,0.0296,1,0
21,Female,NY,Bachelors,SelfEmployed,Married,MarriedJoint,2,67106.2,18237.18,862.96,2395.18,457.92,6061.78,4153.05,27700.0,27700.0,55506.34,5318.9,0.0617,1,0
22,Female,CA,Masters,Salaried,Single,Single,0,74671.19,3599.87,2503.8,1986.64,783.47,3788.83,4276.92,13850.0,13850.0,66924.85,9430.97,0.1168,1,1
30,Male,WA,HighSchool,Salaried,Married,MarriedJoint,2,57384.21,7224.67,605.22,2204.06,786.81,4835.42,4950.54,27700.0,27700.0,34514.1,2321.69,0.0356,1,0
23,Male,WA,Bachelors,Salaried,Single,Single,1,79845.47,4088.64,11470.8,4099.17,1002.66,3818.18,5652.99,13850.0,13850.0,80054.91,12119.58,0.127,1,0
57,Male,AZ,Bachelors,Salaried,Single,Single,4,35595.06,2520.36,3888.27,277.24,276.15,1361.74,4556.9,13850.0,13850.0,22153.7,0.0,0.0,1,1
35,Female,NC,Bachelors,SelfEmployed,Married,MarriedSeparate,4,47491.24,28717.54,1295.72,2642.95,421.65,2699.5,6187.27,13850.0,13850.0,57654.49,4191.49,0.0541,1,1
